,Country,Obesity,Overweight,Mortality per 100.000,Alcohol Consumed,latitude,longitude,geometry
125,Papua New Guinea,16.9882352941176,47.3588235294118,826.156862745098,1.70980392156863,-5.6816069,144.2489081,Papua Niugini
126,Paraguay,16.2274509803922,48.021568627451,440.786274509804,6.82352941176471,-23.3165935,-58.1693445,Paraguay
127,Peru,16.4882352941176,52.9313725490196,341.611764705882,7.13529411764706,-6.8699697,-75.0458515,Perú
128,Philippines,4.65686274509804,23.3235294117647,678.766666666667,6.25098039215686,12.7503486,122.7312101,Pilipinas / Philippines
129,Poland,20.0647058823529,54.7470588235294,565.566666666667,11.1156862745098,52.215933,19.134422,Polska
130,Portugal,17.1705882352941,52.9627450980392,410.496078431373,13.0098039215686,40.0332629,-7.8896263,Portugal
131,Qatar,32.3392156862745,67.9470588235294,786.201960784314,1.26078431372549,25.3336984,51.2295295,قطر
132,Republic of Korea,3.69019607843137,27.4098039215686,373.992156862745,10.6019607843137,36.638392,127.6961188,대한민국
133,Republic of Moldova,16.2058823529412,48.3764705882353,880.007843137255,13.1882352941176,47.2879608,28.5670941,Moldova
134,Romania,19.0686274509804,53.5823529411765,680.274509803922,15.5882352941176,45.9852129,24.6859225,România
135,Russian Federation,20.5176470588235,53.9960784313726,876.452941176471,15.9686274509804,64.6863136,97.7453061,Россия
136,Rwanda,3.78039215686275,19.9941176470588,716.382352941177,11.1137254901961,-1.9646631,30.0644358,Rwanda
137,Saint Lucia,15.8725490196078,43.1588235294118,518.621568627451,10.4725490196078,13.8250489,-60.975036,Saint Lucia
138,Saint Vincent and the Grenadines,18.9843137254902,48.9411764705882,610.48431372549,5.91176470588235,12.90447,-61.2765569,Saint Vincent and the Grenadines
139,Samoa,42.2098039215686,74.0039215686275,804.752941176471,3.47647058823529,-13.7693895,-172.12005,Sāmoa
140,Sao Tome and Principe,9.02156862745098,29.6823529411765,631.474509803922,8.76862745098039,0.8875498,6.9648718,São Tomé e Príncipe
141,Saudi Arabia,31.2352941176471,65.6058823529412,669.066666666667,0,25.6242618,42.3528328,السعودية
142,Senegal,6.4156862745098,23.8901960784314,605.327450980392,0.543137254901961,14.4750607,-14.4529612,Sénégal
143,Serbia,18.3843137254902,53.2647058823529,716.378431372549,10.9866666666667,44.1534121,20.55144,Србија
144,Seychelles,11.0960784313726,32.3901960784314,618.627450980392,6.98039215686275,-4.6574977,55.4540146,Sesel
145,Sierra Leone,6.3078431372549,23.4137254901961,668.021568627451,5.33137254901961,8.6400349,-11.8400269,Sierra Leone
146,Singapore,5.18039215686274,29.7294117647059,311.203921568627,2.06274509803922,1.357107,103.8194992,Singapore
147,Slovakia,17.8117647058824,52.9725490196078,608.305882352941,11.7352941176471,48.7411522,19.4528646,Slovensko
148,Slovenia,17.4921568627451,52.4862745098039,441.174509803922,12.2509803921569,45.8133113,14.4808369,Slovenija
149,Solomon Islands,17.7666666666667,48.943137254902,890.194117647059,1.48823529411765,-8.7053941,159.107069385185,Solomon Islands
150,Somalia,5.9156862745098,23.8529411764706,807.033333333333,0,8.3676771,49.083416,Soomaaliya الصومال
151,South Africa,23.3705882352941,47.8117647058824,787.062745098039,9.69607843137255,-28.8166236,24.991639,South Africa
152,Spain,20.9490196078431,58.5098039215686,358.980392156863,11.5588235294118,39.3260685,-4.8379791,España
153,Sri Lanka,3.4,18.4901960784314,541.866666666667,2.46078431372549,7.5554942,80.7137847,ශ්‍රී ලංකාව இலங்கை
